filename,document_id,content_hash,source_type,publication_date,characters
01_Graduate_Admissions_Requirements_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/01_Graduate_Admissions_Requirements_2026.docx,50b234d48c658cb110015fb530b7b848598992ca3436260596996941d8894221,synthetic_test_data,"September 1, 2026",1119
02_Undergraduate_Admissions_Requirements_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/02_Undergraduate_Admissions_Requirements_2026.docx,eaaa495ff081b3f75e3fec6f6a6634de365ad6c0997b4ecb93332da4cf5fa15a,synthetic_test_data,"September 1, 2026",777
03_CS_Program_Handbook_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/03_CS_Program_Handbook_2026.docx,a8a4f1ed199c1c21119d6b99bfea44d4ced7b29ba0fdf67606c6d40b87cb5514,synthetic_test_data,"August 25, 2026",736
04_DS_Program_Handbook_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/04_DS_Program_Handbook_2026.docx,074448a906ab78309a3aace19ec3f4fe71fb6cd9b1f084bc86fe457fd4f78671,synthetic_test_data,"August 25, 2026",637
05_Cybersecurity_Program_Handbook_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/05_Cybersecurity_Program_Handbook_2026.docx,8ccff87e05e5964c067f9aa50a43c945d703fdec8587f378652eae9691015f46,synthetic_test_data,"August 25, 2026",595
06_Course_Catalog_2026_2027.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/06_Course_Catalog_2026_2027.docx,66384060176c70dbc88150356617a787d57a5905797ea9d5ea93cebbd0cda48a,synthetic_test_data,"June 15, 2026",1047
07_Tuition_Fees_2025_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/07_Tuition_Fees_2025_2026.docx,eef1ec3d895a22b3c6fa167f1aa5c0d4b5014a24a246c5f8592aa776cad1e2ef,synthetic_test_data,"July 1, 2025",513
08_Tuition_Fees_2026_2027.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/08_Tuition_Fees_2026_2027.docx,fa266eb938d52323015d7b548283149d539c2092f1fc58111c7a3e49d9b60422,synthetic_test_data,"July 1, 2026",513
09_Academic_Calendar_2025_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/09_Academic_Calendar_2025_2026.docx,9a53c84d70878f2fa1a2cd97f7a4ec5be576f688b75a6701709978ac9b33e457,synthetic_test_data,"May 20, 2025",540
10_Academic_Calendar_2026_2027.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/10_Academic_Calendar_2026_2027.docx,23733af2f7afb004209b434fe772c60e11ff064921befbcce54258638e325f89,synthetic_test_data,"May 20, 2026",533
11_Scholarship_Policy_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/11_Scholarship_Policy_2026.docx,9635919983ac7560464377bed8a9e7a6c0a204fee39fc168e2d550d466619db7,synthetic_test_data,"August 10, 2026",624
12_Assistantship_Policy_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/12_Assistantship_Policy_2026.docx,41ee502766524a5a1a3f3cf589247a79b7feca4ca83440500e59bf3460c99598,synthetic_test_data,"August 10, 2026",633
13_Housing_Policy_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/13_Housing_Policy_2026.docx,47c10c083a40b87a64ae6e3db7f5d5ba4bfa789730cdcd2fd84fb53543512d0f,synthetic_test_data,"July 20, 2026",662
14_Dining_Policy_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/14_Dining_Policy_2026.docx,200cfdb6b9f5f6a9323d65d68839e1688a61d059b5b31f7d0c855d17367b6871,synthetic_test_data,"July 20, 2026",497
15_CS_Program_Handbook_2025.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/15_CS_Program_Handbook_2025.docx,c3a9698c417d399641053aa4fb15157d1bbb6bf447e50ac16471b3234a092af2,synthetic_test_data,"August 26, 2025",688
16_Graduate_Admissions_2025.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/16_Graduate_Admissions_2025.docx,8b037e805e426b980681fa87918eaee4109e4245f89e8b4bafb511eaaa2dbccd,synthetic_test_data,"September 1, 2025",659
17_Scholarship_Assistantship_FAQ_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/17_Scholarship_Assistantship_FAQ_2026.docx,f13ee99c83b4f25963d0855297f30a28ffd8831b251c34df261bf0c91c8a3868,synthetic_test_data,"August 15, 2026",704
18_Student_Record_Policy_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/18_Student_Record_Policy_2026.docx,355145f24e0f172ff001266ef6359136574e6354bf0116d45558c868d7bf9ec8,synthetic_test_data,"August 5, 2026",536
19_Registration_Add_Drop_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/19_Registration_Add_Drop_2026.docx,4235706fb030760d6fe1599c4d58ee23be8210c824ed43b04aac165b8ccb1904,synthetic_test_data,"August 18, 2026",597
20_International_Student_Guidance_2026.docx,stevens_synthetic_knowledge_base/01_SYNTHETIC_TEST_DATA/20_International_Student_Guidance_2026.docx,cd329962b60fe98c61fcd1d6a607ebd829a4877574a1dff40cc10c329a7d3807,synthetic_test_data,"August 22, 2026",609
01_Stevens_Admissions_Guide.pdf,01_Stevens_Admissions_Guide.pdf,59dd9d1fcc0ffb14023593773108fa8e67a8665cad863673be08a2440f03ef84,unverified,unknown,4201
02_Stevens_Course_Catalogue.pdf,02_Stevens_Course_Catalogue.pdf,b02b6ffe8d6922b05022b04e952327471907b20948aafaae44b10bf0e090ba63,unverified,unknown,3135
03_Stevens_Tuition_Fees.pdf,03_Stevens_Tuition_Fees.pdf,ff74031826c40f5b2a04cf908a1f790038b982b1acd52f012b6d8cbdd87fd1e8,unverified,unknown,2546
04_Stevens_Academic_Calendar.pdf,04_Stevens_Academic_Calendar.pdf,6b8df0303bdfc6612b6da9971b929dc7cd2eab127652a8d4816cd9689a318038,unverified,unknown,2730
05_Stevens_International_FAQ.pdf,05_Stevens_International_FAQ.pdf,7d80e3e1721f14f524d8de5c5bca98e1c9340dd095bfc8553958b24b3e384e2d,unverified,unknown,5889
